Company Name,Brand Name,Model,Series,Product Type,Screen Type,Screen Size,Screen Area (sq. inches),Resolution,Auto- matic Bright- ness Control?,Is Automatic Brightness Control enabled by default when Television is shipped?,On Mode Power (watts),Maximum On Mode Power for Qual- ification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power for Qual- ification (watts),Lum- inance in Default Mode as Shipped (cd/m2),Lum- inance in Brightest Selectable Preset Mode (cd/m2),Average Download Acqui- sition Mode (DAM) Energy (Wh/day),Maximum DAM Energy for Qual- ification (Wh/ day), Typical Electricity Con- sumption (TEC) for Hospitality TVs (W-h/day),Maxi- mum Allowed TEC for Hospi- tality TVs (W-h/day),Estimated Annual Energy Con- sumption (kWh/ year),Date Qualified
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",GPX,HD LED TV,TDE2280B,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Quantum FX,HD LED TV,TV-LCD1312D,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-1912,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",NAXA,HD LED TV,NTD-1952,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-1911,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",GPX,HD LED TV,TD3222B,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-1512,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-2212,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-1511,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",GPX,HD LED TV,TDE1308B,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",NAXA,HD LED TV,NT-2202,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-2412,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Clear Tunes,HD LED TV,CT-1301S,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-191,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",NAXA,HD LED TV,NT-1902,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",NAXA,HD LED TV,NT-1506,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Quantum FX,HD LED TV,TV-LED1912D,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-1312,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",NAXA,HD LED TV,NT-1354,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",GPX,HD LED TV,TE-2382B,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",GPX,HD LED TV,TE-1308B,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-2411,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-2211,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Supersonic,HD LED TV,SC-1311,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",GPX,HD LED TV,TDE1982B,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",NAXA,HD LED TV,NTD-2252,Television (TV),LCD,19,147,1366 X 768,No,No,17.55,24.04,0.24,1,100,138,N/A,,,,33.69,02/22/2012 08:00:00 AM +0000
"Gold Alliance Electronics (Shenzhen) Co., Ltd.",Clear Tunes,HD LED TV,CT-1302N,Television (TV),LCD,16,103,1366 X 768,No,No,12.5,18.44,0.21,1,139,202,N/A,,,,24.27,02/22/2012 08:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE32N1620,LE32N1620,Television (TV),LCD,32,425,1366 x 768,No,No,48.1,53.7,0.9,1,401,404,N/A,,,,94,11/24/2011 08:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE32B1380,LE32B1380,Television (TV),LCD,32,422,1920 x 1080,No,No,51.1,53.4,0.3,1,256,263,N/A,,,,95.3,12/06/2011 08:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE40C13800,LE40C13800,Television (TV),LCD,40,684,1920 x 1080,No,No,73.1,75.5,0.2,1,261,334,N/A,,,,134.8,09/27/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE32C13200,LE32C13200,Television (TV),LCD,32,429,1920 x 1080,No,No,52.9,54,0.3,1,360,395,N/A,,,,98.6,09/27/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE24B13800W,LE24B13800W,Television (TV),LCD,24,236,1920 x 1080,No,No,28,35.7,0.9,1,160,241,N/A,,,,57.3,08/25/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE24B1380,LE24B1380,Television (TV),LCD,24,236,1920 x 1080,No,No,28,35.7,0.9,1,160,241,N/A,,,,57.3,08/25/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE42B1380,LE42B1380,Television (TV),LCD,42,760,1920 x 1080,No,No,54.8,81.8,0.3,1,138,141,N/A,,,,102.1,08/01/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE24B1380W,LE24B1380W,Television (TV),LCD,24,236,1920 x 1080,No,No,28,35.7,0.9,1,160,241,N/A,,,,57.3,08/25/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LEC24B13800,LEC24B13800,Television (TV),LCD,24,236,1920 x 1080,No,No,28,35.7,0.9,1,160,241,N/A,,,,57.3,08/25/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LEC24B1380W,LEC24B1380W,Television (TV),LCD,24,236,1920 x 1080,No,No,28,35.7,0.9,1,160,241,N/A,,,,57.3,08/25/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE46B1381,LE46B1381,Television (TV),LCD,46,906,1920 x 1080,No,No,91.4,94.1,0.3,1,240,357,N/A,,,,168.9,08/05/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE55B1381,LE55B1381,Television (TV),LCD,55,1280,1920 x 1080,No,No,101.8,108,0.7,1,127,176,N/A,,,,190.6,08/01/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LEC24B13800W,LEC24B13800W,Television (TV),LCD,24,236,1920 x 1080,No,No,28,35.7,0.9,1,160,241,N/A,,,,57.3,08/25/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LEC24B1380,LEC24B1380,Television (TV),LCD,24,236,1920 x 1080,No,No,28,35.7,0.9,1,160,241,N/A,,,,57.3,08/25/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE24B13800,LE24B13800,Television (TV),LCD,24,236,1920 x 1080,No,No,28,35.7,0.9,1,160,241,N/A,,,,57.3,08/25/2011 07:00:00 AM +0000
"Haier Electrical Appliances Corp., Ltd.",Haier,LE32N1620W,LE32N1620W,Television (TV),LCD,32,425,1366 x 768,No,No,48.1,53.7,0.9,1,401,404,N/A,,,,94,11/24/2011 08:00:00 AM +0000
HannStar Display Corporation,Hannspree,SV32AMUB,HSG1131,Television (TV),LCD,32,436,1366 x 768,No,No,52.6,54.7,0.39,1,265,367,N/A,,,,,07/31/2011 07:00:00 AM +0000
HannStar Display Corporation,Hannspree,SC24LMUB,HSG1206,Television (TV),LCD,24,237,1920 x 1080,No,No,,,,,136,195.2,N/A,,,,,06/08/2011 07:00:00 AM +0000
HannStar Display Corporation,Hannspree,SV32AMUB,HSG1131,Television (TV),LCD,32,436,1366 x 768,No,No,52.6,54.7,0.39,1,265,367,N/A,,,,,07/31/2011 07:00:00 AM +0000
HannStar Display Corporation,Hanns.G,ST24HMUB,HSG1206,Television (TV),LCD,24,237,1920 x 1080,Yes,Yes,26.4,35.76,0.57,1,81,124,N/A,,,,52100,
HannStar Display Corporation,Hannspree,ST24HMUB,HSG1206,Television (TV),LCD,24,237,1920 x 1080,Yes,Yes,26.4,35.76,0.57,1,81,124,N/A,,,,52100,
"Hisense Electric Co., Ltd.",Hisense,LED LCD TV,LTDN40K26WUS,Television (TV),LCD,40,684,1920 x 1080,No,No,72.75,75.44,0.28,1,176.4,262.5,N/A,,,,134.71,11/21/2011 08:00:00 AM +0000
"Hisense Electric Co., Ltd.",Hisense,LED LCD TV,F55T39EGWD,Television (TV),LCD,55,1276,1920 x 1080,No,No,97.38,108,0.3,1,276.2,395.4,N/A,,,,179.8,12/02/2011 08:00:00 AM +0000
"Hisense Electric Co., Ltd.",Hisense,LED LCD TV,F42K20E,Television (TV),LCD,42,754,1920 x 1080,No,No,76.71,81.37,0.29,1,296.4,330.6,N/A,,,,142.1,01/19/2012 08:00:00 AM +0000
